"Title","ID","Created Date","Updated Date","Owner","project","platform","month","year","amount","notes","addedToBoost","Company"
,"66bc0b53-ce84-44b1-8ef0-e4afd3d0236e",2025-08-16T10:51:34Z,2025-08-25T18:46:31Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","b7444ad8-e438-49ce-b78a-df4a2ed60dd8","Facebook Page Like","7","2025",775,,,
,"66cca402-1612-4f83-a894-760d345aba84",2026-02-22T07:56:06Z,2026-02-22T07:56:08Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","5f4622df-b55f-43d6-9ff8-3eac20caf538","Many Chat","1","2026",55,,,"Elite Recruitment"
,"66d3fbb5-7455-4ef8-a3c7-b33e91e03189",2026-02-17T08:47:04Z,2026-02-17T08:47:07Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","be5a7ff1-e84f-43fb-b6de-579ec9c8315d","Media Mister","10","2025",2500,,,"Code Libya"
,"696e7e32-a3cb-445d-89ac-dac2e9e179ad",2026-02-17T08:49:48Z,2026-02-17T08:49:50Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","e423744b-213d-42a0-9c8b-bdb05a3187aa","Meta Verified","11","2025",100,,,"Libya Build"
,"6b32bfbc-e197-4419-87f8-1f60c2163275",2025-09-20T12:39:15Z,2025-09-20T12:40:52Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","b7444ad8-e438-49ce-b78a-df4a2ed60dd8","Many Chat","8","2025",55,,,"Code DXB"
,"6cd9154c-c256-4b08-aaa7-f2f0db581a56",2025-11-24T07:13:55Z,2025-11-24T07:14:00Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","1212678d-037b-475a-b187-a27821e2d3c8","Many Chat","9","2025",55,,true,"Airstay Holiday Homes"
,"71e873bb-3952-4009-bc45-2599e9c72e13",2025-11-24T07:14:12Z,2025-11-24T07:14:17Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","f889f811-6e7f-489d-a7de-dee3fc249d28","Many Chat","10","2025",55,,,"Mutant"
,"82dd0c96-040d-46b6-bfd7-3bd9c2af8674",2026-02-17T08:42:46Z,2026-02-17T08:42:54Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","e423744b-213d-42a0-9c8b-bdb05a3187aa","Media Mister","8","2025",2500,,,"Libya Build"
,"8729327b-4b0b-4f77-b7d6-6f6fb16ff459",2026-02-22T07:50:24Z,2026-02-22T07:50:27Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","c27ec391-f198-49d2-a60e-6a3516fb252b","Media Mister","1","2026",2500,,,"Horeca Libya"
,"885e80f6-17d7-488c-9491-7c1400e23d14",2025-09-20T12:05:41Z,2026-02-22T07:56:03Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","1212678d-037b-475a-b187-a27821e2d3c8","Many Chat","0","2026",55,,false,"Airstay Holiday Homes"
,"89344020-6968-400c-a41c-b776d73955d7",2025-11-24T07:14:23Z,2025-11-24T07:14:29Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","90f5bb8e-1da9-441f-b63b-1941b663318b","Many Chat","10","2025",55,,,"Crypto Homes DXB"
,"8b56afbc-5d89-4239-b29f-f19608aea125",2026-02-22T07:50:18Z,2026-02-22T07:51:50Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","b7444ad8-e438-49ce-b78a-df4a2ed60dd8","Media Mister","1","2026",2500,,,"Code DXB"
,"8bde29b2-cd47-4a7c-8f38-262c392c6e5e",2025-11-24T07:14:09Z,2025-11-24T07:14:15Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","f889f811-6e7f-489d-a7de-dee3fc249d28","Many Chat","9","2025",55,,,"Mutant"
,"8f1134dc-d80d-4b64-9f13-2b299bd8928d",2025-08-16T10:40:43Z,2025-08-25T18:46:31Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","160e00a4-309a-40b8-aec3-1635e37cf211","Many Chat","7","2025",55,,,
